days_in_crisis,energy_crisis_1970,oil_crisis_1973,early_1980s_recession,black_monday,dot_com_bubble,financial_crisis_2007,corona_2020
-68,,,,0.0026001611625733334,,,
-67,,,-0.01854523530264951,0.01931385771130345,,-0.11170589614973936,
-66,,,0.00028489290247868393,0.018879547179273093,,-0.11247013000529915,
-65,-0.02459761854208431,,0.017220694399130876,0.020072476362658853,,-0.1174617098195373,
-64,-0.022715265600907864,,0.03349345689428784,0.03890627078700437,,-0.12092991791202279,
-63,-0.01733263044996014,,0.02402850069904383,0.04598498182768063,-0.015687885003412894,-0.10202632622960317,-0.04014834915889154
-62,-0.01991357836173857,,0.0075698857670251085,0.04142119494591456,-0.016583140151129938,-0.10134625973421241,-0.053916440767071694
-61,-0.02226541279259453,,0.015458187415680169,0.05015344113213227,-0.013726507406977118,-0.09938547542048703,-0.05586792288409337
-60,-0.021564235351518635,,0.017740573689881245,0.037043230089710555,-0.012834605872906524,-0.09301604866889468,-0.05708065658798411
-59,-0.02274070593975397,,0.011324732105722823,0.031469811011468174,0.0007145758972851857,-0.09414132998922486,-0.07080875821691557
-58,-0.020861889594051775,,0.02492671396456969,-0.007505690102117546,0.0010663788876106306,-0.09489208073997557,-0.07454496168575775
-57,-0.02274424253522822,,0.019822669991267805,-0.006393343049837186,-0.004238660900187874,-0.09414189319308885,-0.07912469378864684
-56,-0.019227243707561237,,0.03604514971316819,0.0015519228958702502,0.006260026763854176,-0.09376694006223019,-0.07170791888947392
-55,-0.020871208010050712,-0.03155712440686864,0.04180551837676261,-0.0031043963945953656,0.011655084195110743,-0.08227694747512859,-0.0691510716525735
-54,-0.01922994189047278,-0.03155712440686864,0.07305551837676261,-0.021392949115299764,0.024030470925946013,-0.07186028080846185,-0.06898064422057404
-53,-0.0199338367755032,-0.03978244843478507,0.07081838191143819,0.005200457478106935,0.02179102217486939,-0.07127377054453221,-0.06846962320057604
-52,-0.018060300475737256,-0.05291376156609817,0.09412500973372517,0.0007854464405793182,-0.009292459175041845,-0.06791267161131587,-0.06792483107282232
-51,-0.019232633418292955,-0.056716042934919386,0.07557901566844327,0.00023326532517342624,-0.013036442059691566,-0.08206606175581377,-0.0657165005706819
-50,-0.018061673230939213,-0.06396183003524614,0.09235509152548194,0.0018870690737952112,-0.016794495030342915,-0.08915561399461969,-0.06888612669112781
-49,-0.015725224632808454,-0.06703481338991979,0.06384796474378651,0.008567607897582374,-0.007223420943139658,-0.1035386571437491,-0.0706615372548205
-48,-0.018067145007515495,-0.048930714823160804,0.06609347372582242,-4.832052393533015e-05,-0.00899898912495778,-0.10202694134631907,-0.07480991904308154
-47,-0.018067145007515495,-0.05322364411609004,0.07352289423102298,0.006535680353931483,-0.006696066184302407,-0.0960164229391064,-0.07738785875366494
-46,-0.014566561576943804,-0.06737727353457346,0.07203479899292764,0.009489728493975336,-0.006696066184302407,-0.09564090660414581,-0.07759413647223345
-45,-0.011078189483920586,-0.06177503263821471,0.07500215804337274,0.006086500916853699,-0.007227792522480292,-0.0948904375609938,-0.07362116500117033
